modelo,n,r2,mae,rmse,ape_mediano
Modelo general (incluye equipo y liga),1863,0.8045496155183937,0.41529517593218174,0.5569038791702199,0.31788957272008483
Detección de oportunidades (solo rendimiento individual),1731,0.5237929388762618,0.6989393404168962,0.8647835889921941,0.5617329818029978
